sample_id,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4
0,1023,1013,1023,1023,1004
1,1023,1013,1023,1023,1004
2,1023,1013,1023,1023,1004
3,1023,1013,1023,1023,1004
4,1023,1013,1023,1023,1005
5,1023,1013,1023,1023,1004
6,1023,1012,1023,1023,1005
7,1023,1012,1023,1023,1005
8,1023,1012,1023,1023,1004
9,1023,1013,1023,1023,1004
10,1023,1013,1023,1023,1004
11,1023,1013,1023,1023,1004
12,1023,1013,1023,1023,1004
13,1023,1013,1023,1023,1004
14,1023,1013,1023,1023,1003
15,1023,1013,1023,1023,1003
16,1023,1012,1023,1023,1004
17,1023,1012,1023,1023,1003
18,1023,1013,1023,1023,1004
19,1023,1013,1023,1023,1004
20,1023,1012,1023,1023,1004
21,1023,1013,1023,1023,1004
22,1023,1013,1023,1023,1004
23,1023,1013,1023,1023,1004
24,1023,1013,1023,1023,1004
25,1023,1013,1023,1023,1004
26,1023,1013,1023,1023,1004
27,1023,1013,1023,1023,1004
28,1023,1013,1023,1023,1004
29,1023,1013,1023,1023,1004
30,1023,1013,1023,1023,1005
31,1022,1014,1022,1023,1009
32,1023,1012,1023,1023,1002
33,1023,1012,1023,1023,1003
34,1023,1012,1023,1023,1003
35,1023,1013,1023,1023,1004
36,1023,1013,1023,1023,1004
37,1023,1012,1023,1023,1004
38,1023,1013,1023,1023,1004
39,1023,1012,1023,1023,1004
40,1023,1013,1023,1023,1004
41,1023,1013,1023,1023,1005
42,1023,1013,1023,1023,1005
43,1023,1013,1023,1023,1004
44,1023,1013,1023,1023,1004
45,1023,1013,1023,1023,1004
46,1023,1013,1023,1023,1004
47,1023,1013,1023,1023,1004
48,1023,1013,1023,1023,1004
49,1023,1013,1023,1023,1004
50,1023,1013,1023,1023,1004
51,1023,1013,1023,1023,1004
52,1023,1012,1023,1023,1004
53,1023,1013,1023,1023,1004
54,1023,1012,1023,1023,1004
55,1023,1013,1023,1023,1004
56,1023,1014,1022,1022,1009
57,1023,1012,1023,1023,1002
58,1023,1012,1023,1023,1003
59,1023,1012,1023,1023,1004
60,1023,1013,1023,1023,1004
61,1023,1013,1023,1023,1004
62,1023,1013,1023,1023,1004
63,1023,1013,1023,1023,1004
64,1023,1013,1023,1023,1003
65,1023,1013,1023,1023,1004
66,1023,1013,1023,1023,1004
67,1023,1013,1023,1023,1004
68,1023,1013,1023,1023,1004
69,1023,1012,1023,1023,1005
70,1023,1012,1023,1023,1005
71,1023,1013,1023,1023,1005
72,1023,1012,1023,1023,1005
73,1023,1012,1023,1023,1005
74,1023,1012,1023,1023,1004
75,1023,1013,1023,1023,1004
76,1023,1013,1023,1023,1004
77,1023,1013,1023,1023,1004
78,1023,1013,1023,1023,1004
79,1023,1012,1023,1023,1004
80,1023,1012,1023,1023,1004
81,1023,1014,1023,1022,1009
82,1023,1012,1023,1023,1003
83,1023,1012,1023,1023,1003
84,1023,1013,1023,1023,1003
85,1023,1013,1023,1023,1004
86,1023,1012,1023,1023,1004
87,1023,1013,1023,1023,1004
88,1023,1013,1023,1023,1004
89,1023,1012,1023,1023,1004
90,1023,1013,1023,1023,1004
91,1023,1013,1023,1023,1004
92,1023,1013,1023,1023,1004
93,1023,1013,1023,1023,1004
94,1023,1013,1023,1023,1004
95,1023,1012,1023,1023,1004
96,1023,1012,1023,1023,1004
97,1023,1013,1023,1023,1004
98,1023,1013,1023,1023,1004
99,1023,1013,1023,1023,1004
