sample_id,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4
0,1023,1013,1023,1023,1002
1,1023,1013,1023,1023,1002
2,1023,1012,1023,1023,1002
3,1023,1012,1023,1023,1003
4,1023,1012,1023,1023,1003
5,1023,1013,1023,1023,1003
6,1023,1012,1023,1023,1003
7,1023,1012,1023,1023,1003
8,1023,1012,1023,1023,1003
9,1023,1012,1023,1023,1003
10,1023,1013,1023,1023,1003
11,1023,1013,1023,1023,1003
12,1023,1013,1023,1023,1003
13,1023,1013,1023,1023,1003
14,1023,1012,1023,1023,1004
15,1023,1012,1023,1023,1004
16,1023,1013,1023,1023,1003
17,1023,1013,1023,1023,1003
18,1023,1013,1023,1023,1003
19,1023,1012,1023,1023,1004
20,1023,1013,1023,1023,1003
21,1023,1012,1023,1023,1003
22,1023,1013,1023,1023,1003
23,1023,1013,1023,1023,1004
24,1023,1013,1023,1023,1003
25,1023,1013,1023,1023,1004
26,1023,1013,1023,1023,1004
27,1023,1013,1023,1023,1004
28,1023,1013,1023,1023,1004
29,1023,1013,1023,1023,1004
30,1023,1013,1023,1023,1004
31,1023,1013,1023,1023,1004
32,1023,1012,1023,1023,1004
33,1023,1014,1022,1023,1009
34,1023,1011,1023,1023,1002
35,1023,1012,1023,1023,1003
36,1023,1012,1023,1023,1004
37,1023,1013,1023,1023,1003
38,1023,1013,1023,1023,1003
39,1023,1013,1023,1023,1004
40,1023,1013,1023,1023,1004
41,1023,1012,1023,1023,1004
42,1023,1013,1023,1023,1003
43,1023,1013,1023,1023,1004
44,1023,1013,1023,1023,1004
45,1023,1013,1023,1023,1004
46,1023,1013,1023,1023,1004
47,1023,1013,1023,1023,1004
48,1023,1013,1023,1023,1004
49,1023,1012,1023,1023,1004
50,1023,1013,1023,1023,1004
51,1023,1012,1023,1023,1004
52,1023,1013,1023,1023,1004
53,1023,1012,1023,1023,1004
54,1023,1012,1023,1023,1003
55,1023,1012,1023,1023,1004
56,1023,1013,1023,1023,1004
57,1023,1013,1023,1023,1004
58,1023,1014,1022,1023,1009
59,1023,1012,1023,1023,1002
60,1023,1012,1023,1023,1003
61,1023,1013,1023,1023,1004
62,1023,1012,1023,1023,1004
63,1023,1013,1023,1023,1004
64,1023,1013,1023,1023,1003
65,1023,1013,1023,1023,1004
66,1023,1013,1023,1023,1004
67,1023,1013,1023,1023,1004
68,1023,1013,1023,1023,1003
69,1023,1013,1023,1023,1004
70,1023,1012,1023,1023,1004
71,1023,1013,1023,1023,1003
72,1023,1012,1023,1023,1004
73,1023,1013,1023,1023,1004
74,1023,1012,1023,1023,1003
75,1023,1013,1023,1023,1003
76,1023,1012,1023,1023,1002
77,1023,1013,1023,1023,1003
78,1023,1013,1023,1023,1002
79,1023,1012,1023,1023,1003
80,1023,1013,1023,1023,1003
81,1023,1012,1023,1023,1003
82,1023,1013,1023,1023,1004
83,1023,1014,1022,1023,1008
84,1023,1012,1023,1023,1002
85,1023,1012,1023,1023,1002
86,1023,1013,1023,1023,1002
87,1023,1013,1023,1023,1003
88,1023,1013,1023,1023,1003
89,1023,1013,1023,1023,1003
90,1023,1013,1023,1023,1004
91,1023,1013,1023,1023,1004
92,1023,1013,1023,1023,1004
93,1023,1013,1023,1023,1003
94,1023,1013,1023,1023,1004
95,1023,1013,1023,1023,1004
96,1023,1012,1023,1023,1004
97,1023,1012,1023,1023,1003
98,1023,1013,1023,1023,1004
99,1023,1012,1023,1023,1004
